row_id,ESE_total,log10_revenue,revenue_cat_2022
3709,31,6,"$500,001 - $1,000,000"
3714,36,5.096910013008056,"$50,001 - $125,000"
3718,13,3.699,"$0 - $5,000"
3723,26,3.699,"$0 - $5,000"
3729,16,3.699,"$0 - $5,000"
3730,15,3.699,"$0 - $5,000"
3732,25,4.3979,"$5,001 - $25,000"
3738,21,5.698970004336019,"$200,001 - $500,000"
3754,33,4.699,"$25,001 - $50,000"
3763,14,4.699,"$25,001 - $50,000"
3765,23,5.698970004336019,"$200,001 - $500,000"
3773,28,6.698970004336019,"$1,000,001 - $5,000,000"
3783,37,8,"$10,000,001 or more"
3789,25,4.3979,"$5,001 - $25,000"
3792,39,6,"$500,001 - $1,000,000"
3816,1,5.096910013008056,"$50,001 - $125,000"
3840,27,5.301029995663981,"$125,001 - $200,000"
3843,8,6,"$500,001 - $1,000,000"
3864,19,4.3979,"$5,001 - $25,000"
3877,25,4.3979,"$5,001 - $25,000"
3881,24,3.699,"$0 - $5,000"
3889,20,5.301029995663981,"$125,001 - $200,000"
4446,22,6.698970004336019,"$1,000,001 - $5,000,000"
4463,38,5.096910013008056,"$50,001 - $125,000"
4466,26,3.699,"$0 - $5,000"
4470,19,3.699,"$0 - $5,000"
4474,35,7,"$5,000,001 - $10,000,000"
4530,40,3.699,"$0 - $5,000"
4531,40,5.698970004336019,"$200,001 - $500,000"
4547,18,5.301029995663981,"$125,001 - $200,000"
4602,32,3.699,"$0 - $5,000"
4604,24,6,"$500,001 - $1,000,000"
4629,18,5.096910013008056,"$50,001 - $125,000"
4645,40,6.698970004336019,"$1,000,001 - $5,000,000"
4666,14,5.301029995663981,"$125,001 - $200,000"
4669,21,6.698970004336019,"$1,000,001 - $5,000,000"
4687,23,6,"$500,001 - $1,000,000"
4688,0,4.3979,"$5,001 - $25,000"
4693,7,4.699,"$25,001 - $50,000"
4702,0,5.301029995663981,"$125,001 - $200,000"
4717,24,4.699,"$25,001 - $50,000"
4719,42,4.3979,"$5,001 - $25,000"
4724,3,3.699,"$0 - $5,000"
4725,17,3.699,"$0 - $5,000"
4730,20,3.699,"$0 - $5,000"
4734,30,5.301029995663981,"$125,001 - $200,000"
4736,20,4.699,"$25,001 - $50,000"
4739,35,6,"$500,001 - $1,000,000"
4744,18,4.699,"$25,001 - $50,000"
4761,20,4.3979,"$5,001 - $25,000"
4770,18,4.3979,"$5,001 - $25,000"
4792,12,5.096910013008056,"$50,001 - $125,000"
4794,21,3.699,"$0 - $5,000"
4803,26,5.698970004336019,"$200,001 - $500,000"
4805,35,4.699,"$25,001 - $50,000"
4813,42,4.3979,"$5,001 - $25,000"
4821,27,5.301029995663981,"$125,001 - $200,000"
4824,31,4.3979,"$5,001 - $25,000"
4828,30,5.698970004336019,"$200,001 - $500,000"
4830,26,3.699,"$0 - $5,000"
4832,42,5.698970004336019,"$200,001 - $500,000"
4833,33,5.301029995663981,"$125,001 - $200,000"
4838,30,4.3979,"$5,001 - $25,000"
4840,28,8,"$10,000,001 or more"
4845,29,6,"$500,001 - $1,000,000"
4849,0,3.699,"$0 - $5,000"
4868,30,5.301029995663981,"$125,001 - $200,000"
4869,19,6.698970004336019,"$1,000,001 - $5,000,000"
4871,21,3.699,"$0 - $5,000"
4872,19,3.699,"$0 - $5,000"
4877,36,3.699,"$0 - $5,000"
4878,27,6.698970004336019,"$1,000,001 - $5,000,000"
4884,0,4.699,"$25,001 - $50,000"
4892,22,4.3979,"$5,001 - $25,000"
4894,35,5.096910013008056,"$50,001 - $125,000"
4895,26,3.699,"$0 - $5,000"
4898,38,6.698970004336019,"$1,000,001 - $5,000,000"
4913,22,5.096910013008056,"$50,001 - $125,000"
4914,40,6,"$500,001 - $1,000,000"
4916,42,3.699,"$0 - $5,000"
4923,41,5.096910013008056,"$50,001 - $125,000"
4928,41,5.096910013008056,"$50,001 - $125,000"
4930,20,4.699,"$25,001 - $50,000"
4932,30,5.301029995663981,"$125,001 - $200,000"
4933,30,6.698970004336019,"$1,000,001 - $5,000,000"
4939,35,4.3979,"$5,001 - $25,000"
4945,22,4.699,"$25,001 - $50,000"
4965,26,4.3979,"$5,001 - $25,000"
4971,32,6.698970004336019,"$1,000,001 - $5,000,000"
4975,21,3.699,"$0 - $5,000"
4976,31,5.301029995663981,"$125,001 - $200,000"
4980,26,6,"$500,001 - $1,000,000"
5001,40,6,"$500,001 - $1,000,000"
5006,18,3.699,"$0 - $5,000"
5009,19,5.096910013008056,"$50,001 - $125,000"
5030,25,4.699,"$25,001 - $50,000"
5036,27,4.699,"$25,001 - $50,000"
5055,38,3.699,"$0 - $5,000"
5073,33,4.3979,"$5,001 - $25,000"
5078,21,5.096910013008056,"$50,001 - $125,000"
5096,25,5.301029995663981,"$125,001 - $200,000"
5097,36,4.3979,"$5,001 - $25,000"
5099,39,8,"$10,000,001 or more"
5107,42,4.3979,"$5,001 - $25,000"
5117,34,6.698970004336019,"$1,000,001 - $5,000,000"
5120,25,3.699,"$0 - $5,000"
5124,20,5.096910013008056,"$50,001 - $125,000"
5131,20,6,"$500,001 - $1,000,000"
5141,37,6,"$500,001 - $1,000,000"
5142,17,8,"$10,000,001 or more"
5150,21,5.698970004336019,"$200,001 - $500,000"
5153,34,3.699,"$0 - $5,000"
5167,22,5.698970004336019,"$200,001 - $500,000"
5168,42,3.699,"$0 - $5,000"
5173,5,4.699,"$25,001 - $50,000"
5177,18,5.096910013008056,"$50,001 - $125,000"
5187,27,3.699,"$0 - $5,000"
5194,31,4.699,"$25,001 - $50,000"
5198,39,3.699,"$0 - $5,000"
5221,42,5.698970004336019,"$200,001 - $500,000"
5222,21,3.699,"$0 - $5,000"
5231,14,4.3979,"$5,001 - $25,000"
5237,24,3.699,"$0 - $5,000"
5249,21,4.3979,"$5,001 - $25,000"
5256,41,5.698970004336019,"$200,001 - $500,000"
5265,31,6.698970004336019,"$1,000,001 - $5,000,000"
5269,28,6.698970004336019,"$1,000,001 - $5,000,000"
5282,29,6.698970004336019,"$1,000,001 - $5,000,000"
5284,32,6,"$500,001 - $1,000,000"
5285,17,6,"$500,001 - $1,000,000"
5286,42,5.096910013008056,"$50,001 - $125,000"
5295,21,3.699,"$0 - $5,000"
5310,27,5.096910013008056,"$50,001 - $125,000"
5334,39,4.699,"$25,001 - $50,000"
5335,28,5.301029995663981,"$125,001 - $200,000"
5338,35,8,"$10,000,001 or more"
5342,24,4.3979,"$5,001 - $25,000"
5359,40,3.699,"$0 - $5,000"
5375,28,4.3979,"$5,001 - $25,000"
5376,25,4.699,"$25,001 - $50,000"
5382,10,6.698970004336019,"$1,000,001 - $5,000,000"
5389,42,4.3979,"$5,001 - $25,000"
5399,2,3.699,"$0 - $5,000"
5850,34,4.699,"$25,001 - $50,000"
6040,19,3.699,"$0 - $5,000"
6207,31,5.301029995663981,"$125,001 - $200,000"
6217,39,5.096910013008056,"$50,001 - $125,000"
6231,33,5.698970004336019,"$200,001 - $500,000"
